stime,station_id,lat,lon,station_id,states,RH,HPBL,TMP,goes_measurement,wind_direction,wind_speed,forest_perc,pop_density,num_vehicles,copd_heart,air_data_value_pred,air_data_value_real
2019-06-24 14:00,48-135-1014,31.870253,-102.334756,48-135-1014,Texas,62,221.12982,298.1168,0.557464,22.35582142,3.526109366,37.33,287.48889,8248322,14834,14.14053222,32
2019-06-16 23:00,06-079-2007,35.04673,-120.58777,06-079-2007,California,82.1,256.77902,289.01163,0.21354522,164.1546642,5.91956558,32.71,657.080463,15065827,16914,6.039656001,2
2019-01-09 22:00,06-065-0010,33.747236,-115.820124,06-065-0010,California,43.600002,529.5128,288.72037,-0.016787142,272.5393597,2.826475537,32.71,657.080463,15065827,16914,5.190497332,4
2019-05-31 16:00,42-101-0076,39.988842,-75.207205,42-101-0076,Pennsylvania,57.8,1081.817,297.19922,0.6259703,142.8795523,2.180770951,58.6,740.996139,4424183,11376,7.171993166,10.7
2019-08-26 17:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,23,846.8861,299.80283,0.14989364,90.60929819,4.017709175,34.48,101.00961,937421,12540,5.776904123,6.8
2019-04-03 21:00,42-003-1376,40.43743,-79.863572,42-003-1376,Pennsylvania,24.5,2214.0586,287.4007,0.10473649,181.6843886,6.86554586,58.6,740.996139,4424183,11376,4.650153272,3
2019-07-10 16:00,11-001-0051,38.89477,-76.953426,11-001-0051,Maryland,58,1205.4495,301.36887,0.4854129,275.8587479,2.630154428,39.36,1613.304771,1922462,9951,10.43909028,10
2019-07-06 22:00,49-035-4002,40.662878,-111.901188,49-035-4002,Utah,13.5,3795.1892,306.24747,0.25338522,286.712504,3.32612918,34.48,101.00961,937421,12540,6.214015577,8.8
2019-04-04 21:00,48-303-1028,33.58553,-101.78698,48-303-1028,Texas,20,2127.4539,296.69675,-0.008310542,88.36793887,0.606372784,37.33,287.48889,8248322,14834,4.872691127,8
2019-06-08 20:00,32-031-1005,39.540917,-119.746761,32-031-1005,Nevada,17.4,1547.627,290.253,0.34300599,301.6494704,4.402005225,15.89,72.778719,683020,5397,3.806507721,2
2019-06-26 21:00,11-001-0043,38.921847,-77.013178,11-001-0043,Maryland,38.8,2017.0804,305.59592,0.25777763,196.1587314,2.98042585,39.36,1613.304771,1922462,9951,7.718246032,11
2019-04-22 21:00,06-073-1201,33.362593,-117.09023,06-073-1201,California,47.8,543.7663,296.62454,0.03099006,191.5777832,5.589122054,32.71,657.080463,15065827,16914,14.75444348,13
2019-05-31 14:00,56-013-0232,43.081667,-107.549444,56-013-0232,Wyoming,67.1,91.77521,284.36047,0.1784829,213.4176778,1.453728413,18.42,15.53994,203546,6811,4.753423413,8
2019-06-08 15:00,48-479-0313,27.599444,-99.533333,48-479-0313,Texas,49.3,762.8196,306.78128,0.45967484,349.3470381,2.473023641,37.33,287.48889,8248322,14834,15.77521126,9
2019-06-09 18:00,49-021-0005,37.74743,-113.055525,49-021-0005,Utah,17.300001,982.2575,292.2945,-0.0372851,79.98125163,6.535238628,34.48,101.00961,937421,12540,4.757452794,5.2
2019-01-22 22:00,32-510-0020,39.1447,-119.7661,32-510-0020,Nevada,78.1,501.8081,274.05374,0.061737005,0.455600176,0.996170994,15.89,72.778719,683020,5397,4.432235294,2
2019-06-04 22:00,32-510-0020,39.1447,-119.7661,32-510-0020,Nevada,30,2260.0725,301.12836,0.16376445,156.4192142,5.664773651,15.89,72.778719,683020,5397,4.147501068,4
2019-07-11 15:00,31-055-0019,41.247486,-95.973142,31-055-0019,Nebraska,65.700005,567.1709,297.05292,0.27704263,88.14006049,3.308234831,3.2,65.267748,683020,25287,5.587253347,5
2019-05-16 21:00,48-323-0004,28.704607,-100.451156,48-323-0004,Texas,50.5,1441.4435,305.08792,0.40550166,326.1728726,4.71982013,37.33,287.48889,8248322,14834,18.59716667,14
2019-04-18 14:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,61.3,41.30291,284.97202,-0.05,336.9528578,3.460797848,32.71,657.080463,15065827,16914,8.040607535,6
2019-05-28 21:00,11-001-0051,38.89477,-76.953426,11-001-0051,Maryland,49.9,1763.3981,306.10254,1.7773238,228.0397123,4.209883185,39.36,1613.304771,1922462,9951,14.41396934,10
2019-08-23 17:00,16-053-0003,42.68,-114.2525,16-053-0003,Idaho,42.600002,776.95123,292.90802,0.24829926,305.9265721,1.560863566,40.55,55.943784,598774,6001,4.743374987,5
2019-07-05 19:00,06-029-0018,35.642943,-117.715066,06-029-0018,California,10.5,1662.6144,305.70856,0.8096043,324.9297576,2.490836825,32.71,657.080463,15065827,16914,8.213495466,7
2019-06-10 15:00,16-053-0003,42.68,-114.2525,16-053-0003,Idaho,43.9,140.28528,286.53928,0.2470663,2.198760505,2.003659203,40.55,55.943784,598774,6001,4.634920133,2
2019-08-14 15:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,33.100002,60.65122,300.50677,0.14442238,341.8037343,2.350208595,32.71,657.080463,15065827,16914,8.431815078,4
2019-03-01 22:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,14.8,2045.7223,301.5945,-0.03990514,147.6656724,4.196407613,37.33,287.48889,8248322,14834,4.48425835,3
2019-01-17 18:00,35-001-0026,35.1443,-106.60468,35-001-0026,New Mexico,55.7,407.3706,283.62238,0.6793729,188.8832319,0.322629832,31.99,44.806827,655766,9336,7.688520863,13.6
2019-02-02 23:00,48-361-1100,30.194167,-93.866944,48-361-1100,Texas,66.700005,836.2114,293.93625,0.0960287,281.1478863,3.061872182,37.33,287.48889,8248322,14834,8.852611111,9
2019-06-29 14:00,35-001-0029,35.01708,-106.65739,35-001-0029,New Mexico,35.2,151.8039,297.04492,0.3088684,256.5185179,0.746605684,31.99,44.806827,655766,9336,11.29804471,6.7
2019-06-14 21:00,42-101-0075,40.054171,-74.985166,42-101-0075,Pennsylvania,40.100002,2040.3596,295.67313,0.1552108,183.846855,5.648965472,58.6,740.996139,4424183,11376,4.721142797,5.9
2019-07-26 17:00,48-303-1028,33.58553,-101.78698,48-303-1028,Texas,28.5,804.85626,301.5519,0.19990559,253.0819415,4.106478236,37.33,287.48889,8248322,14834,10.51428355,10
2019-05-15 20:00,35-001-0029,35.01708,-106.65739,35-001-0029,New Mexico,17.5,3194.2717,300.2069,0.28390098,245.6284298,2.479373973,31.99,44.806827,655766,9336,5.542308669,5.4
2019-07-24 17:00,31-055-0019,41.247486,-95.973142,31-055-0019,Nebraska,50.5,1355.4224,298.3754,0.7337773,265.0611737,3.721333327,3.2,65.267748,683020,25287,7.093279045,12
2019-04-14 16:00,06-019-0500,36.985119,-119.658339,06-019-0500,California,52,162.00623,291.19205,0.17655641,288.1573673,2.953340252,32.71,657.080463,15065827,16914,7.359256428,5
2019-02-07 20:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,15.6,1030.3478,293.01843,-0.02757554,126.064068,7.762729507,37.33,287.48889,8248322,14834,5.339196516,5
2019-06-12 21:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,27.7,1940.5004,305.3801,-0.05,43.97227381,6.803002984,37.33,287.48889,8248322,14834,7.095145811,6
2019-09-23 21:00,31-055-0019,41.247486,-95.973142,31-055-0019,Nebraska,48,1348.889,299.98123,0.14265001,252.1567631,4.588278068,3.2,65.267748,683020,25287,7.228074088,8
